,location,cases,Rate,date
194,Los Angeles - Leimert Park,41.0,269.12,2020-05-12 19:13:21.155291
195,Los Angeles - Lincoln Heights,160.0,490.84,2020-05-12 19:13:21.155291
196,Los Angeles - Little Armenia,164.0,2043.61,2020-05-12 19:13:21.155291
197,Los Angeles - Little Bangladesh,92.0,324.6,2020-05-12 19:13:21.155291
198,Los Angeles - Little Tokyo,9.0,287.26,2020-05-12 19:13:21.155291
199,Los Angeles - Longwood,17.0,394.98,2020-05-12 19:13:21.155291
200,Los Angeles - Los Feliz,42.0,194.37,2020-05-12 19:13:21.155291
201,Los Angeles - Manchester Square,17.0,199.16,2020-05-12 19:13:21.155291
202,Los Angeles - Mandeville Canyon,1.0,32.01,2020-05-12 19:13:21.155291
203,Los Angeles - Mar Vista,64.0,150.69,2020-05-12 19:13:21.155291
204,Los Angeles - Marina Peninsula,9.0,206.42,2020-05-12 19:13:21.155291
205,Los Angeles - Melrose,421.0,541.86,2020-05-12 19:13:21.155291
206,Los Angeles - Mid-city,43.0,286.09,2020-05-12 19:13:21.155291
207,Los Angeles - Miracle Mile,38.0,211.29,2020-05-12 19:13:21.155291
208,Los Angeles - Mission Hills,99.0,410.38,2020-05-12 19:13:21.155291
209,Los Angeles - Mt. Washington,66.0,273.35,2020-05-12 19:13:21.155291
210,Los Angeles - North Hills,271.0,440.11,2020-05-12 19:13:21.155291
211,Los Angeles - North Hollywood,501.0,330.87,2020-05-12 19:13:21.155291
212,Los Angeles - Northridge,221.0,316.63,2020-05-12 19:13:21.155291
213,Los Angeles - Pacific Palisades,40.0,187.87,2020-05-12 19:13:21.155291
214,Los Angeles - Pacoima,442.0,574.18,2020-05-12 19:13:21.155291
215,Los Angeles - Palisades Highlands,3.0,78.0,2020-05-12 19:13:21.155291
216,Los Angeles - Palms,156.0,355.54,2020-05-12 19:13:21.155291
217,Los Angeles - Panorama City,466.0,619.27,2020-05-12 19:13:21.155291
218,Los Angeles - Park La Brea,13.0,95.73,2020-05-12 19:13:21.155291
219,Los Angeles - Pico-Union,379.0,905.79,2020-05-12 19:13:21.155291
220,Los Angeles - Playa Del Rey,1.0,31.29,2020-05-12 19:13:21.155291
221,Los Angeles - Playa Vista,20.0,182.7,2020-05-12 19:13:21.155291
222,Los Angeles - Porter Ranch,65.0,182.65,2020-05-12 19:13:21.155291
223,Los Angeles - Rancho Park,12.0,182.93,2020-05-12 19:13:21.155291
224,Los Angeles - Regent Square,3.0,107.91,2020-05-12 19:13:21.155291
225,Los Angeles - Reseda,337.0,439.85,2020-05-12 19:13:21.155291
226,Los Angeles - Reseda Ranch,23.0,496.12,2020-05-12 19:13:21.155291
227,Los Angeles - Reynier Village,9.0,212.87,2020-05-12 19:13:21.155291
228,Los Angeles - San Pedro,753.0,964.91,2020-05-12 19:13:21.155291
229,Los Angeles - Shadow Hills,9.0,202.61,2020-05-12 19:13:21.155291
230,Los Angeles - Sherman Oaks,183.0,209.73,2020-05-12 19:13:21.155291
231,Los Angeles - Silverlake,145.0,328.92,2020-05-12 19:13:21.155291
232,Los Angeles - South Carthay,27.0,254.84,2020-05-12 19:13:21.155291
233,Los Angeles - South Park,182.0,479.44,2020-05-12 19:13:21.155291
234,Los Angeles - St Elmo Village,28.0,610.82,2020-05-12 19:13:21.155291
235,Los Angeles - Studio City,63.0,280.75,2020-05-12 19:13:21.155291
236,Los Angeles - Sun Valley,198.0,377.27,2020-05-12 19:13:21.155291
237,Los Angeles - Sunland,111.0,543.9,2020-05-12 19:13:21.155291
238,Los Angeles - Sycamore Square,1.0,154.56,2020-05-12 19:13:21.155291
239,Los Angeles - Sylmar,516.0,626.23,2020-05-12 19:13:21.155291
240,Los Angeles - Tarzana,94.0,304.44,2020-05-12 19:13:21.155291
241,Los Angeles - Temple-Beaudry,212.0,536.95,2020-05-12 19:13:21.155291
242,Los Angeles - Thai Town,22.0,224.28,2020-05-12 19:13:21.155291
243,Los Angeles - Toluca Lake,14.0,160.85,2020-05-12 19:13:21.155291
244,Los Angeles - Toluca Terrace,3.0,229.71,2020-05-12 19:13:21.155291
245,Los Angeles - Toluca Woods,3.0,161.46,2020-05-12 19:13:21.155291
246,Los Angeles - Tujunga,93.0,334.41,2020-05-12 19:13:21.155291
247,Los Angeles - University Hills,8.0,233.3,2020-05-12 19:13:21.155291
248,Los Angeles - University Park,112.0,407.93,2020-05-12 19:13:21.155291
249,Los Angeles - Valley Glen,101.0,336.49,2020-05-12 19:13:21.155291
250,Los Angeles - Valley Village,171.0,691.75,2020-05-12 19:13:21.155291
251,Los Angeles - Van Nuys,472.0,506.47,2020-05-12 19:13:21.155291
252,Los Angeles - Venice,56.0,165.26,2020-05-12 19:13:21.155291
253,Los Angeles - Vermont Knolls,78.0,453.49,2020-05-12 19:13:21.155291
254,Los Angeles - Vermont Square,63.0,822.78,2020-05-12 19:13:21.155291
255,Los Angeles - Vermont Vista,182.0,441.9,2020-05-12 19:13:21.155291
256,Los Angeles - Vernon Central,327.0,628.87,2020-05-12 19:13:21.155291
257,Los Angeles - Victoria Park,43.0,511.97,2020-05-12 19:13:21.155291
258,Los Angeles - View Heights,8.0,216.57,2020-05-12 19:13:21.155291
259,Los Angeles - Watts,152.0,356.19,2020-05-12 19:13:21.155291
260,Los Angeles - Wellington Square,16.0,325.53,2020-05-12 19:13:21.155291
261,Los Angeles - West Adams,152.0,550.13,2020-05-12 19:13:21.155291
262,Los Angeles - West Hills,79.0,194.85,2020-05-12 19:13:21.155291
263,Los Angeles - West Los Angeles,64.0,170.05,2020-05-12 19:13:21.155291
264,Los Angeles - West Vernon,281.0,523.82,2020-05-12 19:13:21.155291
265,Los Angeles - Westchester,80.0,155.03,2020-05-12 19:13:21.155291
