,location,cases,Unnamed: 2,date
142,Los Angeles - Encino,30.0,70.53,2020-03-31 15:02:43.233651
143,Los Angeles - Exposition,0.0,0,2020-03-31 15:02:43.233651
144,Los Angeles - Exposition Park,7.0,15.49,2020-03-31 15:02:43.233651
145,Los Angeles - Faircrest Heights,0.0,0,2020-03-31 15:02:43.233651
146,Los Angeles - Figueroa Park Square,0.0,0,2020-03-31 15:02:43.233651
147,Los Angeles - Florence-Firestone,12.0,24.56,2020-03-31 15:02:43.233651
148,Los Angeles - Glassell Park,11.0,35.05,2020-03-31 15:02:43.233651
149,Los Angeles - Gramercy Place,,--,2020-03-31 15:02:43.233651
150,Los Angeles - Granada Hills,10.0,17.25,2020-03-31 15:02:43.233651
151,Los Angeles - Green Meadows,7.0,32.21,2020-03-31 15:02:43.233651
152,Los Angeles - Hancock Park,30.0,182.65,2020-03-31 15:02:43.233651
153,Los Angeles - Harbor City,5.0,17.27,2020-03-31 15:02:43.233651
154,Los Angeles - Harbor Gateway,9.0,20.6,2020-03-31 15:02:43.233651
155,Los Angeles - Harbor Pines,0.0,0,2020-03-31 15:02:43.233651
156,Los Angeles - Harvard Heights,,--,2020-03-31 15:02:43.233651
157,Los Angeles - Harvard Park,4.0,10.09,2020-03-31 15:02:43.233651
158,Los Angeles - Highland Park,9.0,18.68,2020-03-31 15:02:43.233651
159,Los Angeles - Historic Filipinotown,0.0,0,2020-03-31 15:02:43.233651
160,Los Angeles - Hollywood,61.0,93.93,2020-03-31 15:02:43.233651
161,Los Angeles - Hollywood Hills,29.0,100.43,2020-03-31 15:02:43.233651
162,Los Angeles - Hyde Park,7.0,23.82,2020-03-31 15:02:43.233651
163,Los Angeles - Jefferson Park,0.0,0,2020-03-31 15:02:43.233651
164,Los Angeles - Koreatown,14.0,26.61,2020-03-31 15:02:43.233651
165,Los Angeles - Lafayette Square,,--,2020-03-31 15:02:43.233651
166,Los Angeles - Lake Balboa,11.0,26.4,2020-03-31 15:02:43.233651
167,Los Angeles - Lakeview Terrace,5.0,37.42,2020-03-31 15:02:43.233651
168,Los Angeles - Leimert Park,,--,2020-03-31 15:02:43.233651
169,Los Angeles - Lincoln Heights,4.0,12.1,2020-03-31 15:02:43.233651
170,Los Angeles - Little Armenia,,--,2020-03-31 15:02:43.233651
171,Los Angeles - Little Bangladesh,5.0,17.2,2020-03-31 15:02:43.233651
172,Los Angeles - Little Tokyo,,--,2020-03-31 15:02:43.233651
173,Los Angeles - Longwood,,--,2020-03-31 15:02:43.233651
174,Los Angeles - Los Feliz,13.0,60.92,2020-03-31 15:02:43.233651
175,Los Angeles - Manchester Square,,--,2020-03-31 15:02:43.233651
176,Los Angeles - Mandeville Canyon,,--,2020-03-31 15:02:43.233651
177,Los Angeles - Mar Vista,13.0,31.03,2020-03-31 15:02:43.233651
178,Los Angeles - Marina Peninsula,,--,2020-03-31 15:02:43.233651
179,Los Angeles - Melrose,100.0,128.81,2020-03-31 15:02:43.233651
180,Los Angeles - Mid-city,11.0,73.03,2020-03-31 15:02:43.233651
181,Los Angeles - Miracle Mile,12.0,67.92,2020-03-31 15:02:43.233651
182,Los Angeles - Mission Hills,6.0,25.03,2020-03-31 15:02:43.233651
183,Los Angeles - Mt. Washington,,--,2020-03-31 15:02:43.233651
184,Los Angeles - North Hills,9.0,14.77,2020-03-31 15:02:43.233651
185,Los Angeles - North Hollywood,39.0,25.77,2020-03-31 15:02:43.233651
186,Los Angeles - Northridge,9.0,13.28,2020-03-31 15:02:43.233651
187,Los Angeles - Pacific Palisades,22.0,106.26,2020-03-31 15:02:43.233651
188,Los Angeles - Pacoima,5.0,6.25,2020-03-31 15:02:43.233651
