,Locations,Total Cases,Rate
237,Los Angeles - Sunland,115.0,563.5
238,Los Angeles - Sycamore Square,1.0,154.56
239,Los Angeles - Sylmar*,560.0,679.63
240,Los Angeles - Tarzana,99.0,320.64
241,Los Angeles - Temple-Beaudry,225.0,569.88
242,Los Angeles - Thai Town,24.0,244.67
243,Los Angeles - Toluca Lake,16.0,183.82
244,Los Angeles - Toluca Terrace,3.0,229.71
245,Los Angeles - Toluca Woods,3.0,161.46
246,Los Angeles - Tujunga,96.0,345.2
247,Los Angeles - University Hills,9.0,262.47
248,Los Angeles - University Park,120.0,437.06
249,Los Angeles - Valley Glen,105.0,349.81
250,Los Angeles - Valley Village,174.0,703.88
251,Los Angeles - Van Nuys,505.0,541.88
252,Los Angeles - Venice,57.0,168.22
253,Los Angeles - Vermont Knolls,92.0,534.88
254,Los Angeles - Vermont Square,66.0,861.96
255,Los Angeles - Vermont Vista,194.0,471.03
256,Los Angeles - Vernon Central,348.0,669.26
257,Los Angeles - Victoria Park,44.0,523.87
258,Los Angeles - View Heights,8.0,216.57
259,Los Angeles - Watts,156.0,365.56
260,Los Angeles - Wellington Square,16.0,325.53
261,Los Angeles - West Adams,157.0,568.22
262,Los Angeles - West Hills,84.0,207.18
263,Los Angeles - West Los Angeles,65.0,172.71
264,Los Angeles - West Vernon,305.0,568.56
265,Los Angeles - Westchester,82.0,158.91
266,Los Angeles - Westlake,456.0,768.26
267,Los Angeles - Westwood,59.0,109.04
268,Los Angeles - Wholesale District*,322.0,891.25
269,Los Angeles - Wilmington,139.0,246.07
270,Los Angeles - Wilshire Center,164.0,326.89
271,Los Angeles - Winnetka,220.0,424.83
272,Los Angeles - Woodland Hills,134.0,196.9
273,Unincorporated - Acton,9.0,112.91
274,Unincorporated - Agua Dulce,3.0,72.15
275,Unincorporated - Altadena,115.0,263.64
276,Unincorporated - Anaverde,1.0,66.31
277,Unincorporated - Angeles National Forest,0.0,0.0
278,Unincorporated - Arcadia,4.0,50.12
279,Unincorporated - Athens-Westmont,154.0,362.85
280,Unincorporated - Athens Village,20.0,408.41
281,Unincorporated - Avocado Heights,14.0,206.64
282,Unincorporated - Azusa,36.0,226.09
283,Unincorporated - Bassett,44.0,296.96
284,Unincorporated - Bouquet Canyon,0.0,0.0
285,Unincorporated - Bradbury,0.0,0.0
286,Unincorporated - Canyon Country,30.0,388.2
287,Unincorporated - Castaic*,253.0,930.45
288,Unincorporated - Cerritos,0.0,0.0
289,Unincorporated - Charter Oak,0.0,0.0
290,Unincorporated - Claremont,0.0,0.0
291,Unincorporated - Covina,43.0,255.66
292,Unincorporated - Covina (Charter Oak),25.0,190.2
293,Unincorporated - Del Aire,11.0,250.4
294,Unincorporated - Del Rey,0.0,0.0
295,Unincorporated - Del Sur,2.0,82.82
296,Unincorporated - Desert View Highlands,5.0,200.56
