,location,cases,date
235,Los Angeles - Watts,1.0,2020-03-28 09:56:35.322294
236,Los Angeles - Wellington Square,0.0,2020-03-28 09:56:35.322294
237,Los Angeles - West Adams,7.0,2020-03-28 09:56:35.322294
238,Los Angeles - West Hills,5.0,2020-03-28 09:56:35.322294
239,Los Angeles - West Los Angeles,13.0,2020-03-28 09:56:35.322294
240,Los Angeles - West Vernon,8.0,2020-03-28 09:56:35.322294
241,Los Angeles - Westchester,12.0,2020-03-28 09:56:35.322294
242,Los Angeles - Westlake,2.0,2020-03-28 09:56:35.322294
243,Los Angeles - Westwood,17.0,2020-03-28 09:56:35.322294
244,Los Angeles - Wholesale District,11.0,2020-03-28 09:56:35.322294
245,Los Angeles - Wilmington,7.0,2020-03-28 09:56:35.322294
246,Los Angeles - Wilshire Center,4.0,2020-03-28 09:56:35.322294
247,Los Angeles - Winnetka,8.0,2020-03-28 09:56:35.322294
248,Los Angeles - Woodland Hills,18.0,2020-03-28 09:56:35.322294
249,Unincorporated - Acton,0.0,2020-03-28 09:56:35.322294
250,Unincorporated - Agua Dulce,0.0,2020-03-28 09:56:35.322294
251,Unincorporated - Altadena,10.0,2020-03-28 09:56:35.322294
252,Unincorporated - Anaverde,0.0,2020-03-28 09:56:35.322294
253,Unincorporated - Angeles National Forest,0.0,2020-03-28 09:56:35.322294
254,Unincorporated - Arcadia,0.0,2020-03-28 09:56:35.322294
255,Unincorporated - Athens Village,0.0,2020-03-28 09:56:35.322294
256,Unincorporated - Athens-Westmont,7.0,2020-03-28 09:56:35.322294
257,Unincorporated - Avocado Heights,0.0,2020-03-28 09:56:35.322294
258,Unincorporated - Azusa,0.0,2020-03-28 09:56:35.322294
259,Unincorporated - Bassett,0.0,2020-03-28 09:56:35.322294
260,Unincorporated - Bouquet Canyon,0.0,2020-03-28 09:56:35.322294
261,Unincorporated - Bradbury,0.0,2020-03-28 09:56:35.322294
262,Unincorporated - Canyon Country,,2020-03-28 09:56:35.322294
263,Unincorporated - Castaic,4.0,2020-03-28 09:56:35.322294
264,Unincorporated - Cerritos,0.0,2020-03-28 09:56:35.322294
265,Unincorporated - Claremont,0.0,2020-03-28 09:56:35.322294
266,Unincorporated - Covina,,2020-03-28 09:56:35.322294
267,Unincorporated - Covina (Charter Oak),0.0,2020-03-28 09:56:35.322294
268,Unincorporated - Del Aire,0.0,2020-03-28 09:56:35.322294
269,Unincorporated - Del Rey,0.0,2020-03-28 09:56:35.322294
270,Unincorporated - Del Sur,0.0,2020-03-28 09:56:35.322294
271,Unincorporated - Desert View Highlands,0.0,2020-03-28 09:56:35.322294
272,Unincorporated - Duarte,0.0,2020-03-28 09:56:35.322294
273,Unincorporated - East Covina,0.0,2020-03-28 09:56:35.322294
274,Unincorporated - East La Mirada,0.0,2020-03-28 09:56:35.322294
275,Unincorporated - East Lancaster,0.0,2020-03-28 09:56:35.322294
276,Unincorporated - East Los Angeles,8.0,2020-03-28 09:56:35.322294
277,Unincorporated - East Pasadena,0.0,2020-03-28 09:56:35.322294
278,Unincorporated - East Rancho Dominguez,0.0,2020-03-28 09:56:35.322294
279,Unincorporated - East Whittier,,2020-03-28 09:56:35.322294
280,Unincorporated - El Camino Village,0.0,2020-03-28 09:56:35.322294
281,Unincorporated - El Monte,0.0,2020-03-28 09:56:35.322294
282,Unincorporated - Elizabeth Lake,0.0,2020-03-28 09:56:35.322294
283,Unincorporated - Florence-Firestone,0.0,2020-03-28 09:56:35.322294
284,Unincorporated - Glendora,0.0,2020-03-28 09:56:35.322294
285,Unincorporated - Hacienda Heights,2.0,2020-03-28 09:56:35.322294
286,Unincorporated - Hawthorne,,2020-03-28 09:56:35.322294
287,Unincorporated - Hi Vista,0.0,2020-03-28 09:56:35.322294
288,Unincorporated - Kagel/Lopez Canyons,0.0,2020-03-28 09:56:35.322294
289,Unincorporated - La Crescenta-Montrose,0.0,2020-03-28 09:56:35.322294
290,Unincorporated - La Habra Heights,,2020-03-28 09:56:35.322294
291,Unincorporated - La Rambla,,2020-03-28 09:56:35.322294
292,Unincorporated - La Verne,,2020-03-28 09:56:35.322294
293,Unincorporated - Ladera Heights,0.0,2020-03-28 09:56:35.322294
294,Unincorporated - Lake Hughes,0.0,2020-03-28 09:56:35.322294
295,Unincorporated - Lake Los Angeles,0.0,2020-03-28 09:56:35.322294
296,Unincorporated - Lake Manor,0.0,2020-03-28 09:56:35.322294
297,Unincorporated - Lakewood,0.0,2020-03-28 09:56:35.322294
298,Unincorporated - Lennox,,2020-03-28 09:56:35.322294
299,Unincorporated - Leona Valley,0.0,2020-03-28 09:56:35.322294
300,Unincorporated - Littlerock,0.0,2020-03-28 09:56:35.322294
301,Unincorporated - Littlerock/Juniper Hills,0.0,2020-03-28 09:56:35.322294
302,Unincorporated - Littlerock/Pearblossom,0.0,2020-03-28 09:56:35.322294
303,Unincorporated - Llano,0.0,2020-03-28 09:56:35.322294
