,location,cases,Rate,date
137,Los Angeles - Angelino Heights,11.0,439.65,2020-05-14 15:02:30.941480
138,Los Angeles - Arleta,182.0,529.53,2020-05-14 15:02:30.941480
139,Los Angeles - Atwater Village,39.0,265.92,2020-05-14 15:02:30.941480
140,Los Angeles - Baldwin Hills,99.0,318.07,2020-05-14 15:02:30.941480
141,Los Angeles - Bel Air,32.0,379.64,2020-05-14 15:02:30.941480
142,Los Angeles - Beverly Crest,35.0,279.44,2020-05-14 15:02:30.941480
143,Los Angeles - Beverlywood,34.0,258.1,2020-05-14 15:02:30.941480
144,Los Angeles - Boyle Heights,360.0,414.35,2020-05-14 15:02:30.941480
145,Los Angeles - Brentwood,71.0,229.37,2020-05-14 15:02:30.941480
146,Los Angeles - Brookside,0.0,0.0,2020-05-14 15:02:30.941480
147,Los Angeles - Cadillac-Corning,25.0,351.07,2020-05-14 15:02:30.941480
148,Los Angeles - Canoga Park,406.0,621.85,2020-05-14 15:02:30.941480
149,Los Angeles - Carthay,71.0,494.33,2020-05-14 15:02:30.941480
150,Los Angeles - Central,216.0,553.96,2020-05-14 15:02:30.941480
151,Los Angeles - Century City,32.0,250.16,2020-05-14 15:02:30.941480
152,Los Angeles - Century Palms/Cove,141.0,417.58,2020-05-14 15:02:30.941480
153,Los Angeles - Chatsworth,141.0,380.45,2020-05-14 15:02:30.941480
154,Los Angeles - Cheviot Hills,19.0,207.17,2020-05-14 15:02:30.941480
155,Los Angeles - Chinatown,13.0,162.07,2020-05-14 15:02:30.941480
156,Los Angeles - Cloverdale/Cochran,46.0,316.09,2020-05-14 15:02:30.941480
157,Los Angeles - Country Club Park,80.0,527.95,2020-05-14 15:02:30.941480
158,Los Angeles - Crenshaw District,60.0,433.87,2020-05-14 15:02:30.941480
159,Los Angeles - Crestview,78.0,686.14,2020-05-14 15:02:30.941480
160,Los Angeles - Del Rey,61.0,203.77,2020-05-14 15:02:30.941480
161,Los Angeles - Downtown,95.0,345.37,2020-05-14 15:02:30.941480
162,Los Angeles - Eagle Rock,140.0,353.63,2020-05-14 15:02:30.941480
163,Los Angeles - East Hollywood,177.0,604.36,2020-05-14 15:02:30.941480
164,Los Angeles - Echo Park,34.0,238.5,2020-05-14 15:02:30.941480
165,Los Angeles - El Sereno,127.0,303.77,2020-05-14 15:02:30.941480
166,Los Angeles - Elysian Park,12.0,210.08,2020-05-14 15:02:30.941480
167,Los Angeles - Elysian Valley,35.0,344.12,2020-05-14 15:02:30.941480
168,Los Angeles - Encino,108.0,239.09,2020-05-14 15:02:30.941480
169,Los Angeles - Exposition,6.0,180.4,2020-05-14 15:02:30.941480
170,Los Angeles - Exposition Park,191.0,425.23,2020-05-14 15:02:30.941480
171,Los Angeles - Faircrest Heights,4.0,111.11,2020-05-14 15:02:30.941480
172,Los Angeles - Figueroa Park Square,25.0,286.66,2020-05-14 15:02:30.941480
173,Los Angeles - Florence-Firestone,225.0,474.23,2020-05-14 15:02:30.941480
174,Los Angeles - Glassell Park,146.0,461.97,2020-05-14 15:02:30.941480
175,Los Angeles - Gramercy Place,46.0,427.35,2020-05-14 15:02:30.941480
176,Los Angeles - Granada Hills,198.0,340.26,2020-05-14 15:02:30.941480
177,Los Angeles - Green Meadows,103.0,478.96,2020-05-14 15:02:30.941480
178,Los Angeles - Hancock Park,72.0,422.56,2020-05-14 15:02:30.941480
179,Los Angeles - Harbor City,63.0,216.72,2020-05-14 15:02:30.941480
180,Los Angeles - Harbor Gateway,97.0,222.48,2020-05-14 15:02:30.941480
181,Los Angeles - Harbor Pines,6.0,249.07,2020-05-14 15:02:30.941480
182,Los Angeles - Harvard Heights,92.0,510.12,2020-05-14 15:02:30.941480
183,Los Angeles - Harvard Park,195.0,514.04,2020-05-14 15:02:30.941480
184,Los Angeles - Highland Park,132.0,272.78,2020-05-14 15:02:30.941480
185,Los Angeles - Historic Filipinotown,90.0,648.88,2020-05-14 15:02:30.941480
186,Los Angeles - Hollywood,228.0,334.05,2020-05-14 15:02:30.941480
187,Los Angeles - Hollywood Hills,74.0,251.41,2020-05-14 15:02:30.941480
188,Los Angeles - Hyde Park,102.0,357.38,2020-05-14 15:02:30.941480
189,Los Angeles - Jefferson Park,28.0,346.84,2020-05-14 15:02:30.941480
190,Los Angeles - Koreatown,204.0,394.64,2020-05-14 15:02:30.941480
191,Los Angeles - Lafayette Square,16.0,350.95,2020-05-14 15:02:30.941480
192,Los Angeles - Lake Balboa,140.0,331.71,2020-05-14 15:02:30.941480
193,Los Angeles - Lakeview Terrace,80.0,609.15,2020-05-14 15:02:30.941480
194,Los Angeles - Leimert Park,43.0,282.24,2020-05-14 15:02:30.941480
195,Los Angeles - Lincoln Heights,166.0,509.25,2020-05-14 15:02:30.941480
196,Los Angeles - Little Armenia,165.0,2056.07,2020-05-14 15:02:30.941480
197,Los Angeles - Little Bangladesh,102.0,359.88,2020-05-14 15:02:30.941480
198,Los Angeles - Little Tokyo,10.0,319.18,2020-05-14 15:02:30.941480
199,Los Angeles - Longwood,17.0,394.98,2020-05-14 15:02:30.941480
200,Los Angeles - Los Feliz,44.0,203.63,2020-05-14 15:02:30.941480
201,Los Angeles - Manchester Square,18.0,210.87,2020-05-14 15:02:30.941480
202,Los Angeles - Mandeville Canyon,1.0,32.01,2020-05-14 15:02:30.941480
203,Los Angeles - Mar Vista,67.0,157.75,2020-05-14 15:02:30.941480
204,Los Angeles - Marina Peninsula,9.0,206.42,2020-05-14 15:02:30.941480
205,Los Angeles - Melrose,443.0,570.17,2020-05-14 15:02:30.941480
206,Los Angeles - Mid-city,44.0,292.75,2020-05-14 15:02:30.941480
207,Los Angeles - Miracle Mile,38.0,211.29,2020-05-14 15:02:30.941480
208,Los Angeles - Mission Hills,109.0,451.83,2020-05-14 15:02:30.941480
209,Los Angeles - Mt. Washington,67.0,277.49,2020-05-14 15:02:30.941480
210,Los Angeles - North Hills,286.0,464.47,2020-05-14 15:02:30.941480
211,Los Angeles - North Hollywood,530.0,350.02,2020-05-14 15:02:30.941480
212,Los Angeles - Northridge,235.0,336.69,2020-05-14 15:02:30.941480
213,Los Angeles - Pacific Palisades,40.0,187.87,2020-05-14 15:02:30.941480
214,Los Angeles - Pacoima,467.0,606.66,2020-05-14 15:02:30.941480
215,Los Angeles - Palisades Highlands,3.0,78.0,2020-05-14 15:02:30.941480
216,Los Angeles - Palms,163.0,371.49,2020-05-14 15:02:30.941480
217,Los Angeles - Panorama City,512.0,680.4,2020-05-14 15:02:30.941480
218,Los Angeles - Park La Brea,14.0,103.09,2020-05-14 15:02:30.941480
219,Los Angeles - Pico-Union,403.0,963.15,2020-05-14 15:02:30.941480
220,Los Angeles - Playa Del Rey,2.0,62.58,2020-05-14 15:02:30.941480
221,Los Angeles - Playa Vista,22.0,200.97,2020-05-14 15:02:30.941480
222,Los Angeles - Porter Ranch,67.0,188.27,2020-05-14 15:02:30.941480
223,Los Angeles - Rancho Park,12.0,182.93,2020-05-14 15:02:30.941480
224,Los Angeles - Regent Square,3.0,107.91,2020-05-14 15:02:30.941480
225,Los Angeles - Reseda,360.0,469.87,2020-05-14 15:02:30.941480
226,Los Angeles - Reseda Ranch,24.0,517.69,2020-05-14 15:02:30.941480
227,Los Angeles - Reynier Village,9.0,212.87,2020-05-14 15:02:30.941480
228,Los Angeles - San Pedro,772.0,989.26,2020-05-14 15:02:30.941480
229,Los Angeles - Shadow Hills,9.0,202.61,2020-05-14 15:02:30.941480
230,Los Angeles - Sherman Oaks,194.0,222.34,2020-05-14 15:02:30.941480
231,Los Angeles - Silverlake,152.0,344.8,2020-05-14 15:02:30.941480
232,Los Angeles - South Carthay,27.0,254.84,2020-05-14 15:02:30.941480
233,Los Angeles - South Park,192.0,505.78,2020-05-14 15:02:30.941480
234,Los Angeles - St Elmo Village,33.0,719.9,2020-05-14 15:02:30.941480
235,Los Angeles - Studio City,66.0,294.12,2020-05-14 15:02:30.941480
236,Los Angeles - Sun Valley,215.0,409.66,2020-05-14 15:02:30.941480
237,Los Angeles - Sunland,115.0,563.5,2020-05-14 15:02:30.941480
238,Los Angeles - Sycamore Square,1.0,154.56,2020-05-14 15:02:30.941480
239,Los Angeles - Sylmar,560.0,679.63,2020-05-14 15:02:30.941480
240,Los Angeles - Tarzana,99.0,320.64,2020-05-14 15:02:30.941480
241,Los Angeles - Temple-Beaudry,225.0,569.88,2020-05-14 15:02:30.941480
242,Los Angeles - Thai Town,24.0,244.67,2020-05-14 15:02:30.941480
243,Los Angeles - Toluca Lake,16.0,183.82,2020-05-14 15:02:30.941480
244,Los Angeles - Toluca Terrace,3.0,229.71,2020-05-14 15:02:30.941480
245,Los Angeles - Toluca Woods,3.0,161.46,2020-05-14 15:02:30.941480
246,Los Angeles - Tujunga,96.0,345.2,2020-05-14 15:02:30.941480
247,Los Angeles - University Hills,9.0,262.47,2020-05-14 15:02:30.941480
248,Los Angeles - University Park,120.0,437.06,2020-05-14 15:02:30.941480
249,Los Angeles - Valley Glen,105.0,349.81,2020-05-14 15:02:30.941480
250,Los Angeles - Valley Village,174.0,703.88,2020-05-14 15:02:30.941480
251,Los Angeles - Van Nuys,505.0,541.88,2020-05-14 15:02:30.941480
252,Los Angeles - Venice,57.0,168.22,2020-05-14 15:02:30.941480
253,Los Angeles - Vermont Knolls,92.0,534.88,2020-05-14 15:02:30.941480
254,Los Angeles - Vermont Square,66.0,861.96,2020-05-14 15:02:30.941480
255,Los Angeles - Vermont Vista,194.0,471.03,2020-05-14 15:02:30.941480
256,Los Angeles - Vernon Central,348.0,669.26,2020-05-14 15:02:30.941480
257,Los Angeles - Victoria Park,44.0,523.87,2020-05-14 15:02:30.941480
258,Los Angeles - View Heights,8.0,216.57,2020-05-14 15:02:30.941480
259,Los Angeles - Watts,156.0,365.56,2020-05-14 15:02:30.941480
260,Los Angeles - Wellington Square,16.0,325.53,2020-05-14 15:02:30.941480
261,Los Angeles - West Adams,157.0,568.22,2020-05-14 15:02:30.941480
262,Los Angeles - West Hills,84.0,207.18,2020-05-14 15:02:30.941480
263,Los Angeles - West Los Angeles,65.0,172.71,2020-05-14 15:02:30.941480
264,Los Angeles - West Vernon,305.0,568.56,2020-05-14 15:02:30.941480
265,Los Angeles - Westchester,82.0,158.91,2020-05-14 15:02:30.941480
266,Los Angeles - Westlake,456.0,768.26,2020-05-14 15:02:30.941480
267,Los Angeles - Westwood,59.0,109.04,2020-05-14 15:02:30.941480
268,Los Angeles - Wholesale District,322.0,891.25,2020-05-14 15:02:30.941480
269,Los Angeles - Wilmington,139.0,246.07,2020-05-14 15:02:30.941480
270,Los Angeles - Wilshire Center,164.0,326.89,2020-05-14 15:02:30.941480
271,Los Angeles - Winnetka,220.0,424.83,2020-05-14 15:02:30.941480
272,Los Angeles - Woodland Hills,134.0,196.9,2020-05-14 15:02:30.941480
273,Unincorporated - Acton,9.0,112.91,2020-05-14 15:02:30.941480
274,Unincorporated - Agua Dulce,3.0,72.15,2020-05-14 15:02:30.941480
275,Unincorporated - Altadena,115.0,263.64,2020-05-14 15:02:30.941480
276,Unincorporated - Anaverde,1.0,66.31,2020-05-14 15:02:30.941480
277,Unincorporated - Angeles National Forest,0.0,0.0,2020-05-14 15:02:30.941480
278,Unincorporated - Arcadia,4.0,50.12,2020-05-14 15:02:30.941480
279,Unincorporated - Athens-Westmont,154.0,362.85,2020-05-14 15:02:30.941480
280,Unincorporated - Athens Village,20.0,408.41,2020-05-14 15:02:30.941480
281,Unincorporated - Avocado Heights,14.0,206.64,2020-05-14 15:02:30.941480
282,Unincorporated - Azusa,36.0,226.09,2020-05-14 15:02:30.941480
283,Unincorporated - Bassett,44.0,296.96,2020-05-14 15:02:30.941480
284,Unincorporated - Bouquet Canyon,0.0,0.0,2020-05-14 15:02:30.941480
285,Unincorporated - Bradbury,0.0,0.0,2020-05-14 15:02:30.941480
286,Unincorporated - Canyon Country,30.0,388.2,2020-05-14 15:02:30.941480
287,Unincorporated - Castaic,253.0,930.45,2020-05-14 15:02:30.941480
288,Unincorporated - Cerritos,0.0,0.0,2020-05-14 15:02:30.941480
289,Unincorporated - Charter Oak,0.0,0.0,2020-05-14 15:02:30.941480
290,Unincorporated - Claremont,0.0,0.0,2020-05-14 15:02:30.941480
291,Unincorporated - Covina,43.0,255.66,2020-05-14 15:02:30.941480
292,Unincorporated - Covina (Charter Oak),25.0,190.2,2020-05-14 15:02:30.941480
293,Unincorporated - Del Aire,11.0,250.4,2020-05-14 15:02:30.941480
294,Unincorporated - Del Rey,0.0,0.0,2020-05-14 15:02:30.941480
295,Unincorporated - Del Sur,2.0,82.82,2020-05-14 15:02:30.941480
296,Unincorporated - Desert View Highlands,5.0,200.56,2020-05-14 15:02:30.941480
297,Unincorporated - Duarte,11.0,248.42,2020-05-14 15:02:30.941480
298,Unincorporated - East Covina,0.0,0.0,2020-05-14 15:02:30.941480
299,Unincorporated - East La Mirada,10.0,188.96,2020-05-14 15:02:30.941480
300,Unincorporated - East Lancaster,0.0,0.0,2020-05-14 15:02:30.941480
301,Unincorporated - East Los Angeles,530.0,423.09,2020-05-14 15:02:30.941480
302,Unincorporated - East Pasadena,1.0,15.62,2020-05-14 15:02:30.941480
303,Unincorporated - East Rancho Dominguez,28.0,182.91,2020-05-14 15:02:30.941480
304,Unincorporated - East Whittier,6.0,113.08,2020-05-14 15:02:30.941480
305,Unincorporated - El Camino Village,14.0,159.25,2020-05-14 15:02:30.941480
306,Unincorporated - El Monte,0.0,0.0,2020-05-14 15:02:30.941480
307,Unincorporated - Elizabeth Lake,3.0,180.61,2020-05-14 15:02:30.941480
308,Unincorporated - Florence-Firestone,337.0,520.83,2020-05-14 15:02:30.941480
309,Unincorporated - Franklin Canyon,0.0,0.0,2020-05-14 15:02:30.941480
310,Unincorporated - Glendora,2.0,303.03,2020-05-14 15:02:30.941480
311,Unincorporated - Hacienda Heights,79.0,141.26,2020-05-14 15:02:30.941480
312,Unincorporated - Harbor Gateway,0.0,0.0,2020-05-14 15:02:30.941480
313,Unincorporated - Hawthorne,4.0,159.11,2020-05-14 15:02:30.941480
314,Unincorporated - Hi Vista,0.0,0.0,2020-05-14 15:02:30.941480
315,Unincorporated - Kagel/Lopez Canyons,4.0,283.29,2020-05-14 15:02:30.941480
316,Unincorporated - La Crescenta-Montrose,24.0,121.21,2020-05-14 15:02:30.941480
317,Unincorporated - La Habra Heights,0.0,0.0,2020-05-14 15:02:30.941480
318,Unincorporated - La Rambla,7.0,337.35,2020-05-14 15:02:30.941480
319,Unincorporated - La Verne,3.0,147.06,2020-05-14 15:02:30.941480
320,Unincorporated - Ladera Heights,18.0,254.56,2020-05-14 15:02:30.941480
321,Unincorporated - Lake Hughes,0.0,0.0,2020-05-14 15:02:30.941480
322,Unincorporated - Lake Los Angeles,26.0,200.09,2020-05-14 15:02:30.941480
323,Unincorporated - Lake Manor,3.0,182.59,2020-05-14 15:02:30.941480
324,Unincorporated - Lakewood,0.0,0.0,2020-05-14 15:02:30.941480
325,Unincorporated - Lennox,80.0,354.89,2020-05-14 15:02:30.941480
326,Unincorporated - Leona Valley,2.0,114.22,2020-05-14 15:02:30.941480
327,Unincorporated - Littlerock,14.0,348.17,2020-05-14 15:02:30.941480
328,Unincorporated - Littlerock/Juniper Hills,2.0,154.2,2020-05-14 15:02:30.941480
329,Unincorporated - Littlerock/Pearblossom,13.0,364.25,2020-05-14 15:02:30.941480
330,Unincorporated - Llano,1.0,114.03,2020-05-14 15:02:30.941480
331,Unincorporated - Marina del Rey,13.0,138.14,2020-05-14 15:02:30.941480
332,Unincorporated - Miracle Mile,0.0,0.0,2020-05-14 15:02:30.941480
333,Unincorporated - Monrovia,15.0,386.5,2020-05-14 15:02:30.941480
334,Unincorporated - Newhall,0.0,0.0,2020-05-14 15:02:30.941480
335,Unincorporated - North Lancaster,4.0,333.89,2020-05-14 15:02:30.941480
336,Unincorporated - North Whittier,7.0,83.73,2020-05-14 15:02:30.941480
337,Unincorporated - Northeast San Gabriel,24.0,99.85,2020-05-14 15:02:30.941480
338,Unincorporated - Palmdale,4.0,475.06,2020-05-14 15:02:30.941480
339,Unincorporated - Palos Verdes Peninsula,0.0,0.0,2020-05-14 15:02:30.941480
340,Unincorporated - Pearblossom/Llano,2.0,102.25,2020-05-14 15:02:30.941480
341,Unincorporated - Pellissier Village,0.0,0.0,2020-05-14 15:02:30.941480
342,Unincorporated - Placerita Canyon,0.0,0.0,2020-05-14 15:02:30.941480
343,Unincorporated - Pomona,1.0,51.6,2020-05-14 15:02:30.941480
344,Unincorporated - Quartz Hill,29.0,224.7,2020-05-14 15:02:30.941480
345,Unincorporated - Rancho Dominguez,13.0,488.54,2020-05-14 15:02:30.941480
346,Unincorporated - Roosevelt,0.0,0.0,2020-05-14 15:02:30.941480
347,Unincorporated - Rosewood,5.0,388.8,2020-05-14 15:02:30.941480
348,Unincorporated - Rosewood/East Gardena,0.0,0.0,2020-05-14 15:02:30.941480
349,Unincorporated - Rosewood/West Rancho Dominguez,15.0,446.3,2020-05-14 15:02:30.941480
350,Unincorporated - Rowland Heights,79.0,154.84,2020-05-14 15:02:30.941480
351,Unincorporated - San Clemente Island,0.0,0.0,2020-05-14 15:02:30.941480
352,Unincorporated - San Francisquito Canyon/Bouquet Canyon,0.0,0.0,2020-05-14 15:02:30.941480
353,Unincorporated - San Jose Hills,36.0,178.03,2020-05-14 15:02:30.941480
354,Unincorporated - San Pasqual,1.0,49.14,2020-05-14 15:02:30.941480
355,Unincorporated - Sand Canyon,0.0,0.0,2020-05-14 15:02:30.941480
356,Unincorporated - Santa Catalina Island,2.0,749.06,2020-05-14 15:02:30.941480
357,Unincorporated - Santa Monica Mountains,20.0,107.41,2020-05-14 15:02:30.941480
358,Unincorporated - Saugus,4.0,2580.65,2020-05-14 15:02:30.941480
359,Unincorporated - Saugus/Canyon Country,0.0,0.0,2020-05-14 15:02:30.941480
360,Unincorporated - South Antelope Valley,0.0,0.0,2020-05-14 15:02:30.941480
361,Unincorporated - South El Monte,2.0,111.42,2020-05-14 15:02:30.941480
362,Unincorporated - South San Gabriel,23.0,259.95,2020-05-14 15:02:30.941480
363,Unincorporated - South Whittier,93.0,157.04,2020-05-14 15:02:30.941480
364,Unincorporated - Southeast Antelope Valley,0.0,0.0,2020-05-14 15:02:30.941480
365,Unincorporated - Stevenson Ranch,27.0,128.78,2020-05-14 15:02:30.941480
366,Unincorporated - Sun Village,8.0,132.54,2020-05-14 15:02:30.941480
367,Unincorporated - Sunrise Village,2.0,154.32,2020-05-14 15:02:30.941480
368,Unincorporated - Twin Lakes/Oat Mountain,4.0,241.25,2020-05-14 15:02:30.941480
369,Unincorporated - Val Verde,12.0,362.65,2020-05-14 15:02:30.941480
370,Unincorporated - Valencia,6.0,195.31,2020-05-14 15:02:30.941480
371,Unincorporated - Valinda,41.0,175.43,2020-05-14 15:02:30.941480
372,Unincorporated - View Park/Windsor Hills,29.0,249.25,2020-05-14 15:02:30.941480
373,Unincorporated - Walnut Park,64.0,396.46,2020-05-14 15:02:30.941480
374,Unincorporated - West Antelope Valley,2.0,132.36,2020-05-14 15:02:30.941480
375,Unincorporated - West Carson,80.0,362.22,2020-05-14 15:02:30.941480
376,Unincorporated - West Chatsworth,0.0,0.0,2020-05-14 15:02:30.941480
377,Unincorporated - West LA,21.0,2205.88,2020-05-14 15:02:30.941480
378,Unincorporated - West Puente Valley,29.0,294.87,2020-05-14 15:02:30.941480
379,Unincorporated - West Rancho Dominguez,4.0,294.33,2020-05-14 15:02:30.941480
380,Unincorporated - West Whittier/Los Nietos,77.0,285.98,2020-05-14 15:02:30.941480
381,Unincorporated - Westfield/Academy Hills,0.0,0.0,2020-05-14 15:02:30.941480
382,Unincorporated - Westhills,0.0,0.0,2020-05-14 15:02:30.941480
383,Unincorporated - White Fence Farms,2.0,54.3,2020-05-14 15:02:30.941480
384,Unincorporated - Whittier,6.0,158.56,2020-05-14 15:02:30.941480
385,Unincorporated - Whittier Narrows,0.0,0.0,2020-05-14 15:02:30.941480
386,Unincorporated - Willowbrook,101.0,289.29,2020-05-14 15:02:30.941480
387,Unincorporated - Wiseburn,9.0,149.33,2020-05-14 15:02:30.941480
388,- Under Investigation,1660.0,,2020-05-14 15:02:30.941480
