,Locations,Total Cases,Unnamed: 2
351,Unincorporated - Walnut,0,0
352,Unincorporated - Walnut Park,0,0
353,Unincorporated - West Antelope Valley,0,0
354,Unincorporated - West Carson,9,41.05
355,Unincorporated - West Chatsworth,0,0
356,Unincorporated - West LA,--,--
357,Unincorporated - West Puente Valley,0,0
358,Unincorporated - West Rancho Dominguez,0,0
359,Unincorporated - West Whittier/Los Nietos,0,0
360,Unincorporated - Westfield/Academy Hills,0,0
361,Unincorporated - Westhills,0,0
362,Unincorporated - White Fence Farms,0,0
363,Unincorporated - Whittier,0,0
364,Unincorporated - Whittier Narrows,0,0
365,Unincorporated - Willowbrook,2,5.78
366,Unincorporated - Wiseburn,--,--
367,- Under Investigation,309,
