,location,cases,Rate,date
120,City of Sierra Madre,8.0,72.8,2020-05-13 16:02:09.874612
121,City of Signal Hill,15.0,127.15,2020-05-13 16:02:09.874612
122,City of South El Monte,47.0,225.04,2020-05-13 16:02:09.874612
123,City of South Gate,333.0,339.26,2020-05-13 16:02:09.874612
124,City of South Pasadena,107.0,410.7,2020-05-13 16:02:09.874612
125,City of Temple City,97.0,266.08,2020-05-13 16:02:09.874612
126,City of Torrance,327.0,219.07,2020-05-13 16:02:09.874612
127,City of Vernon,1.0,478.47,2020-05-13 16:02:09.874612
128,City of Walnut,30.0,98.26,2020-05-13 16:02:09.874612
129,City of West Covina,190.0,175.54,2020-05-13 16:02:09.874612
130,City of West Hollywood,150.0,405.94,2020-05-13 16:02:09.874612
131,City of Westlake Village,6.0,71.77,2020-05-13 16:02:09.874612
132,City of Whittier,197.0,225.32,2020-05-13 16:02:09.874612
133,Los Angeles,16610.0,410.67,2020-05-13 16:02:09.874612
134,Los Angeles - Adams-Normandie,33.0,402.34,2020-05-13 16:02:09.874612
135,Los Angeles - Alsace,37.0,297.31,2020-05-13 16:02:09.874612
136,Los Angeles - Angeles National Forest,0.0,0.0,2020-05-13 16:02:09.874612
137,Los Angeles - Angelino Heights,11.0,439.65,2020-05-13 16:02:09.874612
138,Los Angeles - Arleta,177.0,514.98,2020-05-13 16:02:09.874612
139,Los Angeles - Atwater Village,38.0,259.1,2020-05-13 16:02:09.874612
140,Los Angeles - Baldwin Hills,99.0,318.07,2020-05-13 16:02:09.874612
141,Los Angeles - Bel Air,32.0,379.64,2020-05-13 16:02:09.874612
142,Los Angeles - Beverly Crest,35.0,279.44,2020-05-13 16:02:09.874612
143,Los Angeles - Beverlywood,34.0,258.1,2020-05-13 16:02:09.874612
144,Los Angeles - Boyle Heights,349.0,401.69,2020-05-13 16:02:09.874612
145,Los Angeles - Brentwood,70.0,226.13,2020-05-13 16:02:09.874612
146,Los Angeles - Brookside,0.0,0.0,2020-05-13 16:02:09.874612
147,Los Angeles - Cadillac-Corning,25.0,351.07,2020-05-13 16:02:09.874612
148,Los Angeles - Canoga Park,396.0,606.53,2020-05-13 16:02:09.874612
149,Los Angeles - Carthay,71.0,494.33,2020-05-13 16:02:09.874612
150,Los Angeles - Central,211.0,541.14,2020-05-13 16:02:09.874612
151,Los Angeles - Century City,33.0,257.97,2020-05-13 16:02:09.874612
152,Los Angeles - Century Palms/Cove,137.0,405.73,2020-05-13 16:02:09.874612
153,Los Angeles - Chatsworth,136.0,366.96,2020-05-13 16:02:09.874612
154,Los Angeles - Cheviot Hills,18.0,196.27,2020-05-13 16:02:09.874612
155,Los Angeles - Chinatown,12.0,149.61,2020-05-13 16:02:09.874612
156,Los Angeles - Cloverdale/Cochran,46.0,316.09,2020-05-13 16:02:09.874612
157,Los Angeles - Country Club Park,79.0,521.35,2020-05-13 16:02:09.874612
158,Los Angeles - Crenshaw District,60.0,433.87,2020-05-13 16:02:09.874612
159,Los Angeles - Crestview,77.0,677.34,2020-05-13 16:02:09.874612
160,Los Angeles - Del Rey,59.0,197.09,2020-05-13 16:02:09.874612
161,Los Angeles - Downtown,95.0,345.37,2020-05-13 16:02:09.874612
162,Los Angeles - Eagle Rock,139.0,351.11,2020-05-13 16:02:09.874612
163,Los Angeles - East Hollywood,175.0,597.53,2020-05-13 16:02:09.874612
164,Los Angeles - Echo Park,34.0,238.5,2020-05-13 16:02:09.874612
165,Los Angeles - El Sereno,124.0,296.59,2020-05-13 16:02:09.874612
166,Los Angeles - Elysian Park,12.0,210.08,2020-05-13 16:02:09.874612
167,Los Angeles - Elysian Valley,34.0,334.28,2020-05-13 16:02:09.874612
168,Los Angeles - Encino,106.0,234.66,2020-05-13 16:02:09.874612
169,Los Angeles - Exposition,6.0,180.4,2020-05-13 16:02:09.874612
170,Los Angeles - Exposition Park,188.0,418.55,2020-05-13 16:02:09.874612
171,Los Angeles - Faircrest Heights,4.0,111.11,2020-05-13 16:02:09.874612
172,Los Angeles - Figueroa Park Square,25.0,286.66,2020-05-13 16:02:09.874612
173,Los Angeles - Florence-Firestone,220.0,463.69,2020-05-13 16:02:09.874612
174,Los Angeles - Glassell Park,144.0,455.64,2020-05-13 16:02:09.874612
175,Los Angeles - Gramercy Place,44.0,408.77,2020-05-13 16:02:09.874612
176,Los Angeles - Granada Hills,183.0,314.48,2020-05-13 16:02:09.874612
177,Los Angeles - Green Meadows,98.0,455.71,2020-05-13 16:02:09.874612
178,Los Angeles - Hancock Park,72.0,422.56,2020-05-13 16:02:09.874612
179,Los Angeles - Harbor City,58.0,199.52,2020-05-13 16:02:09.874612
180,Los Angeles - Harbor Gateway,90.0,206.42,2020-05-13 16:02:09.874612
181,Los Angeles - Harbor Pines,6.0,249.07,2020-05-13 16:02:09.874612
182,Los Angeles - Harvard Heights,91.0,504.57,2020-05-13 16:02:09.874612
183,Los Angeles - Harvard Park,190.0,500.86,2020-05-13 16:02:09.874612
184,Los Angeles - Highland Park,128.0,264.51,2020-05-13 16:02:09.874612
185,Los Angeles - Historic Filipinotown,88.0,634.46,2020-05-13 16:02:09.874612
186,Los Angeles - Hollywood,224.0,328.19,2020-05-13 16:02:09.874612
187,Los Angeles - Hollywood Hills,74.0,251.41,2020-05-13 16:02:09.874612
188,Los Angeles - Hyde Park,99.0,346.87,2020-05-13 16:02:09.874612
189,Los Angeles - Jefferson Park,28.0,346.84,2020-05-13 16:02:09.874612
190,Los Angeles - Koreatown,201.0,388.83,2020-05-13 16:02:09.874612
191,Los Angeles - Lafayette Square,15.0,329.02,2020-05-13 16:02:09.874612
192,Los Angeles - Lake Balboa,139.0,329.34,2020-05-13 16:02:09.874612
193,Los Angeles - Lakeview Terrace,74.0,563.47,2020-05-13 16:02:09.874612
194,Los Angeles - Leimert Park,43.0,282.24,2020-05-13 16:02:09.874612
195,Los Angeles - Lincoln Heights,164.0,503.11,2020-05-13 16:02:09.874612
196,Los Angeles - Little Armenia,164.0,2043.61,2020-05-13 16:02:09.874612
197,Los Angeles - Little Bangladesh,97.0,342.24,2020-05-13 16:02:09.874612
198,Los Angeles - Little Tokyo,10.0,319.18,2020-05-13 16:02:09.874612
199,Los Angeles - Longwood,17.0,394.98,2020-05-13 16:02:09.874612
200,Los Angeles - Los Feliz,43.0,199.0,2020-05-13 16:02:09.874612
201,Los Angeles - Manchester Square,18.0,210.87,2020-05-13 16:02:09.874612
202,Los Angeles - Mandeville Canyon,1.0,32.01,2020-05-13 16:02:09.874612
203,Los Angeles - Mar Vista,65.0,153.05,2020-05-13 16:02:09.874612
204,Los Angeles - Marina Peninsula,9.0,206.42,2020-05-13 16:02:09.874612
205,Los Angeles - Melrose,429.0,552.15,2020-05-13 16:02:09.874612
206,Los Angeles - Mid-city,44.0,292.75,2020-05-13 16:02:09.874612
207,Los Angeles - Miracle Mile,38.0,211.29,2020-05-13 16:02:09.874612
208,Los Angeles - Mission Hills,102.0,422.82,2020-05-13 16:02:09.874612
209,Los Angeles - Mt. Washington,66.0,273.35,2020-05-13 16:02:09.874612
210,Los Angeles - North Hills,281.0,456.35,2020-05-13 16:02:09.874612
211,Los Angeles - North Hollywood,517.0,341.43,2020-05-13 16:02:09.874612
212,Los Angeles - Northridge,225.0,322.36,2020-05-13 16:02:09.874612
213,Los Angeles - Pacific Palisades,40.0,187.87,2020-05-13 16:02:09.874612
214,Los Angeles - Pacoima,456.0,592.37,2020-05-13 16:02:09.874612
215,Los Angeles - Palisades Highlands,3.0,78.0,2020-05-13 16:02:09.874612
216,Los Angeles - Palms,163.0,371.49,2020-05-13 16:02:09.874612
217,Los Angeles - Panorama City,489.0,649.83,2020-05-13 16:02:09.874612
218,Los Angeles - Park La Brea,13.0,95.73,2020-05-13 16:02:09.874612
219,Los Angeles - Pico-Union,396.0,946.42,2020-05-13 16:02:09.874612
220,Los Angeles - Playa Del Rey,2.0,62.58,2020-05-13 16:02:09.874612
221,Los Angeles - Playa Vista,20.0,182.7,2020-05-13 16:02:09.874612
222,Los Angeles - Porter Ranch,66.0,185.46,2020-05-13 16:02:09.874612
223,Los Angeles - Rancho Park,12.0,182.93,2020-05-13 16:02:09.874612
224,Los Angeles - Regent Square,3.0,107.91,2020-05-13 16:02:09.874612
225,Los Angeles - Reseda,346.0,451.6,2020-05-13 16:02:09.874612
226,Los Angeles - Reseda Ranch,24.0,517.69,2020-05-13 16:02:09.874612
227,Los Angeles - Reynier Village,9.0,212.87,2020-05-13 16:02:09.874612
228,Los Angeles - San Pedro,764.0,979.01,2020-05-13 16:02:09.874612
229,Los Angeles - Shadow Hills,9.0,202.61,2020-05-13 16:02:09.874612
230,Los Angeles - Sherman Oaks,188.0,215.46,2020-05-13 16:02:09.874612
231,Los Angeles - Silverlake,150.0,340.27,2020-05-13 16:02:09.874612
232,Los Angeles - South Carthay,27.0,254.84,2020-05-13 16:02:09.874612
233,Los Angeles - South Park,188.0,495.25,2020-05-13 16:02:09.874612
234,Los Angeles - St Elmo Village,31.0,676.27,2020-05-13 16:02:09.874612
235,Los Angeles - Studio City,65.0,289.66,2020-05-13 16:02:09.874612
236,Los Angeles - Sun Valley,207.0,394.41,2020-05-13 16:02:09.874612
237,Los Angeles - Sunland,113.0,553.7,2020-05-13 16:02:09.874612
238,Los Angeles - Sycamore Square,1.0,154.56,2020-05-13 16:02:09.874612
239,Los Angeles - Sylmar,541.0,656.57,2020-05-13 16:02:09.874612
240,Los Angeles - Tarzana,96.0,310.92,2020-05-13 16:02:09.874612
241,Los Angeles - Temple-Beaudry,219.0,554.68,2020-05-13 16:02:09.874612
242,Los Angeles - Thai Town,24.0,244.67,2020-05-13 16:02:09.874612
243,Los Angeles - Toluca Lake,15.0,172.33,2020-05-13 16:02:09.874612
244,Los Angeles - Toluca Terrace,3.0,229.71,2020-05-13 16:02:09.874612
245,Los Angeles - Toluca Woods,3.0,161.46,2020-05-13 16:02:09.874612
246,Los Angeles - Tujunga,94.0,338.01,2020-05-13 16:02:09.874612
247,Los Angeles - University Hills,8.0,233.3,2020-05-13 16:02:09.874612
248,Los Angeles - University Park,116.0,422.49,2020-05-13 16:02:09.874612
249,Los Angeles - Valley Glen,103.0,343.15,2020-05-13 16:02:09.874612
250,Los Angeles - Valley Village,173.0,699.84,2020-05-13 16:02:09.874612
251,Los Angeles - Van Nuys,489.0,524.71,2020-05-13 16:02:09.874612
252,Los Angeles - Venice,57.0,168.22,2020-05-13 16:02:09.874612
253,Los Angeles - Vermont Knolls,90.0,523.26,2020-05-13 16:02:09.874612
254,Los Angeles - Vermont Square,65.0,848.9,2020-05-13 16:02:09.874612
255,Los Angeles - Vermont Vista,190.0,461.32,2020-05-13 16:02:09.874612
256,Los Angeles - Vernon Central,335.0,644.26,2020-05-13 16:02:09.874612
257,Los Angeles - Victoria Park,44.0,523.87,2020-05-13 16:02:09.874612
258,Los Angeles - View Heights,8.0,216.57,2020-05-13 16:02:09.874612
259,Los Angeles - Watts,152.0,356.19,2020-05-13 16:02:09.874612
260,Los Angeles - Wellington Square,16.0,325.53,2020-05-13 16:02:09.874612
261,Los Angeles - West Adams,156.0,564.6,2020-05-13 16:02:09.874612
262,Los Angeles - West Hills,80.0,197.31,2020-05-13 16:02:09.874612
263,Los Angeles - West Los Angeles,64.0,170.05,2020-05-13 16:02:09.874612
264,Los Angeles - West Vernon,299.0,557.38,2020-05-13 16:02:09.874612
265,Los Angeles - Westchester,81.0,156.97,2020-05-13 16:02:09.874612
266,Los Angeles - Westlake,439.0,739.62,2020-05-13 16:02:09.874612
267,Los Angeles - Westwood,58.0,107.19,2020-05-13 16:02:09.874612
268,Los Angeles - Wholesale District,292.0,808.22,2020-05-13 16:02:09.874612
269,Los Angeles - Wilmington,135.0,238.99,2020-05-13 16:02:09.874612
270,Los Angeles - Wilshire Center,163.0,324.9,2020-05-13 16:02:09.874612
271,Los Angeles - Winnetka,219.0,422.89,2020-05-13 16:02:09.874612
272,Los Angeles - Woodland Hills,134.0,196.9,2020-05-13 16:02:09.874612
273,Unincorporated - Acton,8.0,100.36,2020-05-13 16:02:09.874612
274,Unincorporated - Agua Dulce,3.0,72.15,2020-05-13 16:02:09.874612
275,Unincorporated - Altadena,114.0,261.35,2020-05-13 16:02:09.874612
276,Unincorporated - Anaverde,1.0,66.31,2020-05-13 16:02:09.874612
277,Unincorporated - Angeles National Forest,0.0,0.0,2020-05-13 16:02:09.874612
278,Unincorporated - Arcadia,4.0,50.12,2020-05-13 16:02:09.874612
279,Unincorporated - Athens-Westmont,147.0,346.36,2020-05-13 16:02:09.874612
280,Unincorporated - Athens Village,20.0,408.41,2020-05-13 16:02:09.874612
281,Unincorporated - Avocado Heights,14.0,206.64,2020-05-13 16:02:09.874612
282,Unincorporated - Azusa,36.0,226.09,2020-05-13 16:02:09.874612
283,Unincorporated - Bassett,43.0,290.21,2020-05-13 16:02:09.874612
284,Unincorporated - Bouquet Canyon,0.0,0.0,2020-05-13 16:02:09.874612
285,Unincorporated - Bradbury,0.0,0.0,2020-05-13 16:02:09.874612
286,Unincorporated - Canyon Country,30.0,388.2,2020-05-13 16:02:09.874612
287,Unincorporated - Castaic,229.0,842.19,2020-05-13 16:02:09.874612
288,Unincorporated - Cerritos,0.0,0.0,2020-05-13 16:02:09.874612
289,Unincorporated - Charter Oak,0.0,0.0,2020-05-13 16:02:09.874612
290,Unincorporated - Claremont,0.0,0.0,2020-05-13 16:02:09.874612
291,Unincorporated - Covina,40.0,237.83,2020-05-13 16:02:09.874612
292,Unincorporated - Covina (Charter Oak),25.0,190.2,2020-05-13 16:02:09.874612
293,Unincorporated - Del Aire,11.0,250.4,2020-05-13 16:02:09.874612
294,Unincorporated - Del Rey,0.0,0.0,2020-05-13 16:02:09.874612
295,Unincorporated - Del Sur,2.0,82.82,2020-05-13 16:02:09.874612
296,Unincorporated - Desert View Highlands,5.0,200.56,2020-05-13 16:02:09.874612
297,Unincorporated - Duarte,10.0,225.84,2020-05-13 16:02:09.874612
298,Unincorporated - East Covina,0.0,0.0,2020-05-13 16:02:09.874612
299,Unincorporated - East La Mirada,9.0,170.07,2020-05-13 16:02:09.874612
300,Unincorporated - East Lancaster,0.0,0.0,2020-05-13 16:02:09.874612
301,Unincorporated - East Los Angeles,517.0,412.71,2020-05-13 16:02:09.874612
302,Unincorporated - East Pasadena,1.0,15.62,2020-05-13 16:02:09.874612
303,Unincorporated - East Rancho Dominguez,27.0,176.38,2020-05-13 16:02:09.874612
304,Unincorporated - East Whittier,6.0,113.08,2020-05-13 16:02:09.874612
305,Unincorporated - El Camino Village,14.0,159.25,2020-05-13 16:02:09.874612
306,Unincorporated - El Monte,0.0,0.0,2020-05-13 16:02:09.874612
307,Unincorporated - Elizabeth Lake,3.0,180.61,2020-05-13 16:02:09.874612
308,Unincorporated - Florence-Firestone,327.0,505.37,2020-05-13 16:02:09.874612
309,Unincorporated - Franklin Canyon,0.0,0.0,2020-05-13 16:02:09.874612
310,Unincorporated - Glendora,2.0,303.03,2020-05-13 16:02:09.874612
311,Unincorporated - Hacienda Heights,78.0,139.47,2020-05-13 16:02:09.874612
312,Unincorporated - Harbor Gateway,0.0,0.0,2020-05-13 16:02:09.874612
313,Unincorporated - Hawthorne,4.0,159.11,2020-05-13 16:02:09.874612
314,Unincorporated - Hi Vista,0.0,0.0,2020-05-13 16:02:09.874612
315,Unincorporated - Kagel/Lopez Canyons,2.0,141.64,2020-05-13 16:02:09.874612
316,Unincorporated - La Crescenta-Montrose,23.0,116.16,2020-05-13 16:02:09.874612
317,Unincorporated - La Habra Heights,0.0,0.0,2020-05-13 16:02:09.874612
318,Unincorporated - La Rambla,7.0,337.35,2020-05-13 16:02:09.874612
319,Unincorporated - La Verne,3.0,147.06,2020-05-13 16:02:09.874612
320,Unincorporated - Ladera Heights,17.0,240.42,2020-05-13 16:02:09.874612
321,Unincorporated - Lake Hughes,0.0,0.0,2020-05-13 16:02:09.874612
322,Unincorporated - Lake Los Angeles,25.0,192.4,2020-05-13 16:02:09.874612
323,Unincorporated - Lake Manor,3.0,182.59,2020-05-13 16:02:09.874612
324,Unincorporated - Lakewood,0.0,0.0,2020-05-13 16:02:09.874612
325,Unincorporated - Lennox,75.0,332.71,2020-05-13 16:02:09.874612
326,Unincorporated - Leona Valley,2.0,114.22,2020-05-13 16:02:09.874612
327,Unincorporated - Littlerock,14.0,348.17,2020-05-13 16:02:09.874612
328,Unincorporated - Littlerock/Juniper Hills,2.0,154.2,2020-05-13 16:02:09.874612
329,Unincorporated - Littlerock/Pearblossom,12.0,336.23,2020-05-13 16:02:09.874612
330,Unincorporated - Llano,1.0,114.03,2020-05-13 16:02:09.874612
331,Unincorporated - Marina del Rey,13.0,138.14,2020-05-13 16:02:09.874612
332,Unincorporated - Miracle Mile,0.0,0.0,2020-05-13 16:02:09.874612
333,Unincorporated - Monrovia,15.0,386.5,2020-05-13 16:02:09.874612
334,Unincorporated - Newhall,0.0,0.0,2020-05-13 16:02:09.874612
335,Unincorporated - North Lancaster,4.0,333.89,2020-05-13 16:02:09.874612
336,Unincorporated - North Whittier,7.0,83.73,2020-05-13 16:02:09.874612
337,Unincorporated - Northeast San Gabriel,24.0,99.85,2020-05-13 16:02:09.874612
338,Unincorporated - Palmdale,4.0,475.06,2020-05-13 16:02:09.874612
339,Unincorporated - Palos Verdes Peninsula,0.0,0.0,2020-05-13 16:02:09.874612
340,Unincorporated - Pearblossom/Llano,2.0,102.25,2020-05-13 16:02:09.874612
341,Unincorporated - Pellissier Village,0.0,0.0,2020-05-13 16:02:09.874612
342,Unincorporated - Placerita Canyon,0.0,0.0,2020-05-13 16:02:09.874612
343,Unincorporated - Pomona,1.0,51.6,2020-05-13 16:02:09.874612
344,Unincorporated - Quartz Hill,29.0,224.7,2020-05-13 16:02:09.874612
345,Unincorporated - Rancho Dominguez,13.0,488.54,2020-05-13 16:02:09.874612
346,Unincorporated - Roosevelt,0.0,0.0,2020-05-13 16:02:09.874612
347,Unincorporated - Rosewood,5.0,388.8,2020-05-13 16:02:09.874612
348,Unincorporated - Rosewood/East Gardena,0.0,0.0,2020-05-13 16:02:09.874612
349,Unincorporated - Rosewood/West Rancho Dominguez,12.0,357.04,2020-05-13 16:02:09.874612
350,Unincorporated - Rowland Heights,77.0,150.92,2020-05-13 16:02:09.874612
351,Unincorporated - San Clemente Island,0.0,0.0,2020-05-13 16:02:09.874612
352,Unincorporated - San Francisquito Canyon/Bouquet Canyon,0.0,0.0,2020-05-13 16:02:09.874612
353,Unincorporated - San Jose Hills,36.0,178.03,2020-05-13 16:02:09.874612
354,Unincorporated - San Pasqual,1.0,49.14,2020-05-13 16:02:09.874612
355,Unincorporated - Sand Canyon,0.0,0.0,2020-05-13 16:02:09.874612
356,Unincorporated - Santa Catalina Island,2.0,749.06,2020-05-13 16:02:09.874612
357,Unincorporated - Santa Monica Mountains,20.0,107.41,2020-05-13 16:02:09.874612
358,Unincorporated - Saugus,4.0,2580.65,2020-05-13 16:02:09.874612
359,Unincorporated - Saugus/Canyon Country,0.0,0.0,2020-05-13 16:02:09.874612
360,Unincorporated - South Antelope Valley,0.0,0.0,2020-05-13 16:02:09.874612
361,Unincorporated - South El Monte,2.0,111.42,2020-05-13 16:02:09.874612
362,Unincorporated - South San Gabriel,23.0,259.95,2020-05-13 16:02:09.874612
363,Unincorporated - South Whittier,91.0,153.66,2020-05-13 16:02:09.874612
364,Unincorporated - Southeast Antelope Valley,0.0,0.0,2020-05-13 16:02:09.874612
365,Unincorporated - Stevenson Ranch,27.0,128.78,2020-05-13 16:02:09.874612
366,Unincorporated - Sun Village,8.0,132.54,2020-05-13 16:02:09.874612
367,Unincorporated - Sunrise Village,2.0,154.32,2020-05-13 16:02:09.874612
368,Unincorporated - Twin Lakes/Oat Mountain,4.0,241.25,2020-05-13 16:02:09.874612
369,Unincorporated - Val Verde,12.0,362.65,2020-05-13 16:02:09.874612
370,Unincorporated - Valencia,6.0,195.31,2020-05-13 16:02:09.874612
371,Unincorporated - Valinda,39.0,166.87,2020-05-13 16:02:09.874612
372,Unincorporated - View Park/Windsor Hills,29.0,249.25,2020-05-13 16:02:09.874612
373,Unincorporated - Walnut Park,61.0,377.87,2020-05-13 16:02:09.874612
374,Unincorporated - West Antelope Valley,2.0,132.36,2020-05-13 16:02:09.874612
375,Unincorporated - West Carson,79.0,357.69,2020-05-13 16:02:09.874612
376,Unincorporated - West Chatsworth,0.0,0.0,2020-05-13 16:02:09.874612
377,Unincorporated - West LA,22.0,2310.92,2020-05-13 16:02:09.874612
378,Unincorporated - West Puente Valley,29.0,294.87,2020-05-13 16:02:09.874612
379,Unincorporated - West Rancho Dominguez,3.0,220.75,2020-05-13 16:02:09.874612
380,Unincorporated - West Whittier/Los Nietos,76.0,282.27,2020-05-13 16:02:09.874612
381,Unincorporated - Westfield/Academy Hills,0.0,0.0,2020-05-13 16:02:09.874612
382,Unincorporated - Westhills,0.0,0.0,2020-05-13 16:02:09.874612
383,Unincorporated - White Fence Farms,2.0,54.3,2020-05-13 16:02:09.874612
384,Unincorporated - Whittier,6.0,158.56,2020-05-13 16:02:09.874612
385,Unincorporated - Whittier Narrows,0.0,0.0,2020-05-13 16:02:09.874612
386,Unincorporated - Willowbrook,96.0,274.97,2020-05-13 16:02:09.874612
387,Unincorporated - Wiseburn,9.0,149.33,2020-05-13 16:02:09.874612
388,- Under Investigation,1681.0,,2020-05-13 16:02:09.874612
