,location,cases,Rate**,date
187,Los Angeles - Lafayette Square,12.0,263.22,2020-04-28 14:25:46.849676
188,Los Angeles - Lake Balboa,76.0,180.07,2020-04-28 14:25:46.849676
189,Los Angeles - Lakeview Terrace,49.0,373.11,2020-04-28 14:25:46.849676
190,Los Angeles - Leimert Park,31.0,203.48,2020-04-28 14:25:46.849676
191,Los Angeles - Lincoln Heights,66.0,202.47,2020-04-28 14:25:46.849676
192,Los Angeles - Little Armenia,81.0,1009.35,2020-04-28 14:25:46.849676
193,Los Angeles - Little Bangladesh,65.0,229.33,2020-04-28 14:25:46.849676
194,Los Angeles - Little Tokyo,5.0,159.59,2020-04-28 14:25:46.849676
195,Los Angeles - Longwood,14.0,325.28,2020-04-28 14:25:46.849676
196,Los Angeles - Los Feliz,33.0,152.72,2020-04-28 14:25:46.849676
197,Los Angeles - Manchester Square,13.0,152.3,2020-04-28 14:25:46.849676
198,Los Angeles - Mandeville Canyon,1.0,32.01,2020-04-28 14:25:46.849676
199,Los Angeles - Mar Vista,52.0,122.44,2020-04-28 14:25:46.849676
200,Los Angeles - Marina Peninsula,9.0,206.42,2020-04-28 14:25:46.849676
201,Los Angeles - Melrose,313.0,402.85,2020-04-28 14:25:46.849676
202,Los Angeles - Mid-city,35.0,232.87,2020-04-28 14:25:46.849676
203,Los Angeles - Miracle Mile,35.0,194.61,2020-04-28 14:25:46.849676
204,Los Angeles - Mission Hills,63.0,261.15,2020-04-28 14:25:46.849676
205,Los Angeles - Mt. Washington,35.0,144.96,2020-04-28 14:25:46.849676
206,Los Angeles - North Hills,141.0,228.99,2020-04-28 14:25:46.849676
207,Los Angeles - North Hollywood,314.0,207.37,2020-04-28 14:25:46.849676
208,Los Angeles - Northridge,150.0,214.91,2020-04-28 14:25:46.849676
209,Los Angeles - Pacific Palisades,36.0,169.09,2020-04-28 14:25:46.849676
210,Los Angeles - Pacoima,224.0,290.99,2020-04-28 14:25:46.849676
211,Los Angeles - Palisades Highlands,3.0,78.0,2020-04-28 14:25:46.849676
212,Los Angeles - Palms,101.0,230.19,2020-04-28 14:25:46.849676
213,Los Angeles - Panorama City,244.0,324.25,2020-04-28 14:25:46.849676
214,Los Angeles - Park La Brea,11.0,81.0,2020-04-28 14:25:46.849676
215,Los Angeles - Pico-Union,171.0,408.68,2020-04-28 14:25:46.849676
216,Los Angeles - Playa Del Rey,1.0,31.29,2020-04-28 14:25:46.849676
217,Los Angeles - Playa Vista,19.0,173.56,2020-04-28 14:25:46.849676
218,Los Angeles - Porter Ranch,52.0,146.12,2020-04-28 14:25:46.849676
219,Los Angeles - Rancho Park,11.0,167.68,2020-04-28 14:25:46.849676
220,Los Angeles - Regent Square,2.0,71.94,2020-04-28 14:25:46.849676
221,Los Angeles - Reseda,178.0,232.32,2020-04-28 14:25:46.849676
222,Los Angeles - Reseda Ranch,17.0,366.7,2020-04-28 14:25:46.849676
223,Los Angeles - Reynier Village,8.0,189.21,2020-04-28 14:25:46.849676
224,Los Angeles - San Pedro,185.0,237.06,2020-04-28 14:25:46.849676
225,Los Angeles - Shadow Hills,10.0,225.12,2020-04-28 14:25:46.849676
226,Los Angeles - Sherman Oaks,119.0,136.38,2020-04-28 14:25:46.849676
227,Los Angeles - Silverlake,107.0,242.72,2020-04-28 14:25:46.849676
228,Los Angeles - South Carthay,24.0,226.52,2020-04-28 14:25:46.849676
229,Los Angeles - South Park,108.0,284.5,2020-04-28 14:25:46.849676
230,Los Angeles - St Elmo Village,13.0,283.6,2020-04-28 14:25:46.849676
231,Los Angeles - Studio City,36.0,160.43,2020-04-28 14:25:46.849676
232,Los Angeles - Sun Valley,107.0,203.88,2020-04-28 14:25:46.849676
233,Los Angeles - Sunland,72.0,352.8,2020-04-28 14:25:46.849676
234,Los Angeles - Sycamore Square,0.0,0.0,2020-04-28 14:25:46.849676
235,Los Angeles - Sylmar,299.0,362.87,2020-04-28 14:25:46.849676
236,Los Angeles - Tarzana,71.0,229.95,2020-04-28 14:25:46.849676
237,Los Angeles - Temple-Beaudry,142.0,359.66,2020-04-28 14:25:46.849676
238,Los Angeles - Thai Town,12.0,122.34,2020-04-28 14:25:46.849676
239,Los Angeles - Toluca Lake,9.0,103.4,2020-04-28 14:25:46.849676
240,Los Angeles - Toluca Terrace,2.0,153.14,2020-04-28 14:25:46.849676
241,Los Angeles - Toluca Woods,3.0,161.46,2020-04-28 14:25:46.849676
242,Los Angeles - Tujunga,63.0,226.54,2020-04-28 14:25:46.849676
243,Los Angeles - University Hills,4.0,116.65,2020-04-28 14:25:46.849676
244,Los Angeles - University Park,73.0,265.88,2020-04-28 14:25:46.849676
245,Los Angeles - Valley Glen,79.0,263.19,2020-04-28 14:25:46.849676
246,Los Angeles - Valley Village,86.0,347.9,2020-04-28 14:25:46.849676
247,Los Angeles - Van Nuys,257.0,275.77,2020-04-28 14:25:46.849676
248,Los Angeles - Venice,44.0,129.85,2020-04-28 14:25:46.849676
249,Los Angeles - Vermont Knolls,51.0,296.51,2020-04-28 14:25:46.849676
250,Los Angeles - Vermont Square,37.0,483.22,2020-04-28 14:25:46.849676
251,Los Angeles - Vermont Vista,102.0,247.66,2020-04-28 14:25:46.849676
252,Los Angeles - Vernon Central,164.0,315.4,2020-04-28 14:25:46.849676
253,Los Angeles - Victoria Park,33.0,392.9,2020-04-28 14:25:46.849676
254,Los Angeles - View Heights,7.0,189.5,2020-04-28 14:25:46.849676
255,Los Angeles - Watts,85.0,199.18,2020-04-28 14:25:46.849676
256,Los Angeles - Wellington Square,11.0,223.8,2020-04-28 14:25:46.849676
257,Los Angeles - West Adams,105.0,380.02,2020-04-28 14:25:46.849676
258,Los Angeles - West Hills,46.0,113.45,2020-04-28 14:25:46.849676
259,Los Angeles - West Los Angeles,53.0,140.82,2020-04-28 14:25:46.849676
260,Los Angeles - West Vernon,178.0,331.82,2020-04-28 14:25:46.849676
261,Los Angeles - Westchester,61.0,118.21,2020-04-28 14:25:46.849676
262,Los Angeles - Westlake,230.0,387.5,2020-04-28 14:25:46.849676
263,Los Angeles - Westwood,45.0,83.17,2020-04-28 14:25:46.849676
264,Los Angeles - Wholesale District,85.0,235.27,2020-04-28 14:25:46.849676
265,Los Angeles - Wilmington,85.0,150.48,2020-04-28 14:25:46.849676
266,Los Angeles - Wilshire Center,100.0,199.32,2020-04-28 14:25:46.849676
267,Los Angeles - Winnetka,135.0,260.69,2020-04-28 14:25:46.849676
268,Los Angeles - Woodland Hills,103.0,151.35,2020-04-28 14:25:46.849676
269,Unincorporated - Acton,8.0,100.36,2020-04-28 14:25:46.849676
270,Unincorporated - Agua Dulce,1.0,24.05,2020-04-28 14:25:46.849676
271,Unincorporated - Altadena,66.0,151.31,2020-04-28 14:25:46.849676
272,Unincorporated - Anaverde,1.0,66.31,2020-04-28 14:25:46.849676
273,Unincorporated - Angeles National Forest,1.0,80.32,2020-04-28 14:25:46.849676
274,Unincorporated - Arcadia,4.0,50.12,2020-04-28 14:25:46.849676
275,Unincorporated - Athens-Westmont,92.0,216.77,2020-04-28 14:25:46.849676
276,Unincorporated - Athens Village,13.0,265.47,2020-04-28 14:25:46.849676
277,Unincorporated - Avocado Heights,13.0,191.88,2020-04-28 14:25:46.849676
278,Unincorporated - Azusa,15.0,94.2,2020-04-28 14:25:46.849676
279,Unincorporated - Bandini Islands,0.0,,2020-04-28 14:25:46.849676
280,Unincorporated - Bassett,27.0,182.22,2020-04-28 14:25:46.849676
281,Unincorporated - Bouquet Canyon,0.0,0.0,2020-04-28 14:25:46.849676
282,Unincorporated - Bradbury,0.0,0.0,2020-04-28 14:25:46.849676
283,Unincorporated - Canyon Country,21.0,271.74,2020-04-28 14:25:46.849676
284,Unincorporated - Castaic,18.0,66.2,2020-04-28 14:25:46.849676
285,Unincorporated - Cerritos,0.0,0.0,2020-04-28 14:25:46.849676
286,Unincorporated - Charter Oak,0.0,0.0,2020-04-28 14:25:46.849676
287,Unincorporated - Claremont,0.0,0.0,2020-04-28 14:25:46.849676
288,Unincorporated - Covina,19.0,112.97,2020-04-28 14:25:46.849676
289,Unincorporated - Covina (Charter Oak),13.0,98.9,2020-04-28 14:25:46.849676
290,Unincorporated - Del Aire,7.0,159.34,2020-04-28 14:25:46.849676
291,Unincorporated - Del Rey,0.0,0.0,2020-04-28 14:25:46.849676
292,Unincorporated - Del Sur,2.0,82.82,2020-04-28 14:25:46.849676
293,Unincorporated - Desert View Highlands,2.0,80.22,2020-04-28 14:25:46.849676
294,Unincorporated - Duarte,8.0,180.67,2020-04-28 14:25:46.849676
295,Unincorporated - East Covina,0.0,0.0,2020-04-28 14:25:46.849676
296,Unincorporated - East La Mirada,7.0,132.28,2020-04-28 14:25:46.849676
297,Unincorporated - East Lancaster,0.0,0.0,2020-04-28 14:25:46.849676
298,Unincorporated - East Los Angeles,342.0,273.01,2020-04-28 14:25:46.849676
299,Unincorporated - East Pasadena,0.0,0.0,2020-04-28 14:25:46.849676
300,Unincorporated - East Rancho Dominguez,20.0,130.65,2020-04-28 14:25:46.849676
301,Unincorporated - East Whittier,4.0,75.39,2020-04-28 14:25:46.849676
302,Unincorporated - El Camino Village,7.0,79.63,2020-04-28 14:25:46.849676
303,Unincorporated - El Monte,0.0,0.0,2020-04-28 14:25:46.849676
304,Unincorporated - Elizabeth Lake,1.0,60.2,2020-04-28 14:25:46.849676
305,Unincorporated - Florence-Firestone,174.0,268.91,2020-04-28 14:25:46.849676
306,Unincorporated - Franklin Canyon,0.0,0.0,2020-04-28 14:25:46.849676
307,Unincorporated - Glendora,1.0,151.52,2020-04-28 14:25:46.849676
308,Unincorporated - Hacienda Heights,49.0,87.62,2020-04-28 14:25:46.849676
